"effect_size","p_value"
0.00123054543909857,0.414147796375863
0.0038004617907515,9.8433396298566e-91
-0.000192757686935959,9.22084258464543e-07
-9.55982430055612e-05,0.566759190834834
0.000105642518171157,0.402091694262002
-8.43638242530927e-05,0.328898879524717
0.000217852513335501,0.750611701102019
-0.000195372893982683,0.6645115592119
-0.000560802889732048,0.0174704555467685
-0.000162926628103624,5.94241876537461e-12
-0.000109793162836157,8.80870406255584e-08
-0.000395584505664202,3.54706525070767e-24
-0.000157835745295063,3.59845612696898e-11
